OBJECTID,Tract,ZIP,Population,CIscore4,CIscoreP4,Pollution,Pollution Score,Pollution Pctl,Education,Education Pctl,Linguistic Isolation,Linguistic Isolation Pctl,Poverty,Poverty Pctl,Unemployment,Unemployment Pctl,Housing Burden,Housing Burden Pctl,Pop. Characteristics,Pop. Characteristics Score,Pop. Characteristics Pctl,Child_10,Pop_10_64,Elderly_65,Hispanic,White,African_American,Native_American,Asian_American,Pacific_Islander,Other_Multiple,County,City,AB1500,CES3_DAC,CES4_DAC,CES_Any_DAC,CES_AnyAnd_AB1550,tracttxt,HTCTop2,HTCTop,HTCTop2_and_CES_DAC,Shape__Area,Shape__Length,x,y
7108,6037228320,90011,3122,53.36284602,91.21280888,48.67240502,5.942890985,66.90728065,65.9,99.77220957,20.3,87.0212478,62.9,93.60552764,6,57.24882874,39,98.25095057,86.56181704,8.979273918,97.64246092,16.1115,77.3863,6.5022,96.7008,0,3.2992,0,0,0,0,Los Angeles,Los Angeles,Yes,Yes,Yes,Yes,Yes,6037228320,Yes,Yes,Yes,337576.1827850342,3116.1610835575693,,
7109,6037228410,90011,3600,59.84780207,95.62531518,56.40217779,6.886694705,85.12756689,53.4,97.77271577,21.2,87.99566924,66.3,95.67839196,8.9,81.01249349,38.2,97.87072243,83.77655909,8.69035214,95.81442259,14.3056,79.4722,6.2222,92.6389,2.2222,3.4444,0,1.3611,0.3333,0,Los Angeles,Los Angeles,Yes,Yes,Yes,Yes,Yes,6037228410,Yes,Yes,Yes,278968.9683456421,2163.9854287558273,,
7110,6037228500,90011,4869,56.97989776,93.88552698,51.2226226,6.254272045,73.27940261,52.4,97.43103012,23.2,90.48585736,57.1,89.2839196,8.3,77.09526288,32.8,94.25855513,87.82740312,9.110556329,98.34846193,17.3752,76.1142,6.5106,84.6375,0,15.3625,0,0,0,0,Los Angeles,Los Angeles,Yes,Yes,Yes,Yes,Yes,6037228500,Yes,Yes,Yes,448852.34758758545,2809.322002808599,,
7116,6037239802,90001,5461,60.01460553,95.68835098,57.58444293,7.031049044,87.10640946,41.7,91.19210326,8.8,56.85478414,66.3,95.67839196,9.3,83.22488287,45.1,99.54372624,82.28524616,8.535654517,94.76802824,14.4662,80.1868,5.347,70.0971,1.0804,27.1745,0,0.4761,0,1.1719,Los Angeles,Los Angeles,Yes,Yes,Yes,Yes,Yes,6037239802,Yes,Yes,Yes,609434.149887085,3429.1759551941714,,
7117,6037239702,90003,4334,70.75785411,99.21835603,60.35257639,7.36903759,91.43746111,44,92.87522146,10.9,65.19150088,68.1,96.62060302,11.4,90.86413326,42.3,99.21419518,92.56547321,9.602048198,99.60917801,12.8749,80.6414,6.4836,70.0508,0.323,29.6262,0,0,0,0,Los Angeles,Los Angeles,Yes,Yes,Yes,Yes,Yes,6037239702,Yes,Yes,Yes,485463.9615097046,3065.3986125757565,,
7123,6037241202,90044,5776,65.65868305,97.98285426,59.10073378,7.216187856,89.69508401,36.6,86.95267021,10.5,63.68926783,54,86.0678392,10.2,87.06402915,30.5,91.28010139,87.71411407,9.098804572,98.28542612,18.9578,71.2431,9.7992,58.7431,0.606,35.786,0.7618,0.3982,0,3.705,Los Angeles,Los Angeles,Yes,Yes,Yes,Yes,Yes,6037241202,Yes,Yes,Yes,1163643.1287612915,4275.114276753856,,
7124,6037128601,91401,4369,49.96439317,87.83408976,53.09994699,6.48349298,78.3322962,15.8,57.23867375,6.7,47.0835025,45.1,76.24371859,9.2,82.74336283,39.3,98.35234474,74.29108759,7.706400443,85.71608674,12.6802,80.4303,6.8894,45.8457,38.1552,5.4246,0,8.1712,0.0458,2.3575,Los Angeles,Los Angeles,Yes,Yes,Yes,Yes,Yes,6037128601,Yes,Yes,Yes,682187.7466812134,4218.04206923562,,
7125,6037128102,91401,4625,45.94301194,83.14422592,46.02301452,5.619400931,59.61418793,29.3,79.4229309,17.2,81.70253079,54.7,86.85929648,3.6,25.23425299,38,97.76932826,78.81603596,8.175784662,91.38930913,11.0919,82.3784,6.5297,62.1189,20.8432,7.2649,0,8.1514,0,1.6216,Los Angeles,Los Angeles,Yes,Yes,Yes,Yes,Yes,6037128102,Yes,Yes,Yes,648851.1367492676,3222.0528008175183,,
7126,6037128101,91405,3735,41.50849368,77.33232476,47.6934281,5.823358097,64.09458619,15.5,56.47937231,15.7,78.71159832,42.3,72.57537688,8.9,81.01249349,26.6,83.94169835,68.71453632,7.127930823,78.46696924,11.9411,76.7871,11.2718,50.5756,38.7416,3.3735,0.2142,4.7657,0,2.3293,Los Angeles,Los Angeles,No,No,Yes,Yes,No,6037128101,Yes,Yes,Yes,648858.6858406067,3222.071720282054,,
7127,6037127806,91411,3293,43.96411932,80.74886536,54.164688,6.613497646,80.60983199,33.5,83.97873956,32.1,96.56245771,54.4,86.50753769,5.7,53.8912025,32.8,94.25855513,64.08439943,6.647635135,71.55824508,8.3207,82.3869,9.2924,60.3097,23.8081,4.3729,0,9.8998,0,1.6095,Los Angeles,Los Angeles,Yes,Yes,Yes,Yes,Yes,6037127806,Yes,Yes,Yes,683163.512462616,4109.813261096204,,
7128,6037127804,91405,4352,47.75952807,85.19919314,46.29497615,5.652607392,60.39825762,17.3,60.3138446,16.4,80.18676411,41.2,70.84170854,8.5,78.33159813,29.1,89.08745247,81.4509865,8.449114675,93.96116994,10.9835,81.3189,7.6976,48.5983,30.8824,4.7794,0.5055,12.477,0,2.7574,Los Angeles,Los Angeles,Yes,Yes,Yes,Yes,Yes,6037127804,Yes,Yes,Yes,638163.0297241211,3195.494324689152,,
7129,6037127803,91405,4790,53.40966768,91.25063036,51.33810234,6.268372098,73.69010579,33.3,83.80156922,26.2,93.32791988,45,76.10552764,5,44.35190005,24.6,79.06210393,82.13915882,8.520500512,94.60413515,17.7244,64.6555,17.62,61.1482,27.4948,3.1524,0.2714,5.6994,0,2.2338,Los Angeles,Los Angeles,Yes,Yes,Yes,Yes,Yes,6037127803,Yes,Yes,Yes,642237.4554214478,3205.6862075217273,,
7130,6037127711,91406,3588,64.03986655,97.49117499,66.82095468,8.158825294,96.92594897,24.6,72.51328778,17.2,81.70253079,46.5,78.10301508,10.1,86.75169183,21.1,67.26235741,75.66724618,7.849152817,87.54412506,14.9944,75.1115,9.8941,52.9543,31.1315,8.1382,0,6.8841,0,0.8919,Los Angeles,Los Angeles,No,Yes,Yes,Yes,No,6037127711,Yes,Yes,Yes,944479.1400794983,4124.026126596916,,
7131,6037127603,91406,3068,50.45194257,88.32576904,50.08278897,6.115098585,70.54138146,32.4,82.91571754,22.9,90.16105021,59.6,91.45728643,8.8,80.38781884,29.6,89.83523447,79.53523596,8.250389078,92.15834594,17.5359,76.5319,5.9322,80.9322,14.9935,1.5645,0,2.0209,0.2282,0.2608,Los Angeles,Los Angeles,Yes,Yes,Yes,Yes,Yes,6037127603,Yes,Yes,Yes,437916.78676605225,2970.3277390191424,,
7132,6037127104,91405,3821,63.14353066,97.13817448,57.7707386,7.053795708,87.38021157,22.5,69.19767148,20,86.56110434,63.1,93.75628141,10.8,89.18532015,33.3,94.82889734,86.29609193,8.951709587,97.42813918,12.9024,78.5135,8.5841,51.7142,37.608,2.8003,0,6.3858,0,1.4918,Los Angeles,Los Angeles,Yes,Yes,Yes,Yes,Yes,6037127104,Yes,Yes,Yes,710013.046585083,3434.1647004304887,,
7133,6037127103,91405,3109,52.29290082,90.35552194,59.95402713,7.320374804,90.79029247,19.4,63.75601114,22.5,89.71444038,49.1,80.77889447,2.8,14.39354503,29.5,89.69581749,68.8643671,7.143473145,78.66868381,20.3281,69.9582,9.7137,58.5397,24.606,3.7311,0,7.6552,0,5.468,Los Angeles,Los Angeles,Yes,Yes,Yes,Yes,Yes,6037127103,Yes,Yes,Yes,286007.81702041626,2297.628139197886,,
7135,6037293302,90710,5082,41.90137597,77.87443268,55.97605047,6.834664643,84.293715,16.7,59.11161731,15,77.42590337,27.8,50.23869347,6.5,62.40239459,28.4,87.69328264,59.1011891,6.130714256,64.09480585,14.7383,71.7631,13.4986,30.4014,25.5214,13.7544,0,25.6198,2.9122,1.7906,Los Angeles,Los Angeles,Yes,No,Yes,Yes,Yes,6037293302,No,No,No,1116628.2061309814,4673.201537324327,,
7147,6037576200,90802,5324,51.17316266,89.08219869,51.52419341,6.291093781,74.36216553,19.3,63.60415085,10.2,62.66071187,54.8,86.97236181,11.3,90.59083811,31,92.0278834,78.41537856,8.134223466,90.80937973,8.2081,83.8092,7.9827,35.0676,29.7896,20.1728,0,5.6912,0.7137,8.565,Los Angeles,Long Beach,Yes,Yes,Yes,Yes,Yes,6037576200,Yes,Yes,Yes,697262.7750778198,3418.7457778396265,,
